id,location,date,event
1,Quarto Genoa Italy,5-6 May 1860,Departure of Garibaldi and the expedition
2,Talamone Tuscany Italy,7 May 1860,Stop and attempted resupply
3,Favignana Egadi Islands Sicily Italy,9-10 May 1860,Approach to Sicily and selection of landing site
4,Marsala Sicily Italy,11 May 1860,Landing of the Thousand with no Bourbon resistance
5,Rampingallo Calatafimi Segesta Sicily Italy,13 May 1860,Reorganization of the army into battalions
6,Salemi Sicily Italy,14 May 1860,Garibaldi proclaims himself dictator of Sicily in the name of Victor Emmanuel II
7,Pianto Romano Calatafimi Segesta Sicily Italy,15 May 1860,First battle and victory over Bourbon troops
8,Palermo Sicily Italy,27-30 May 1860,Entry into the city and capitulation of Bourbon forces
9,Milazzo Sicily Italy,20 July 1860,Decisive battle and Garibaldian victory
10,Messina Sicily Italy,27-28 July 1860,Garibaldian entry and Bourbon withdrawal
11,Melito di Porto Salvo Calabria Italy,19 August 1860,Landing in Calabria
12,Reggio Calabria Italy,21 August 1860,Battle and capture of the city
13,Soveria Mannelli Calabria Italy,30 August 1860,Surrender of Bourbon army under General Ghio
14,Rotonda Basilicata Italy,2 September 1860,Entry into Basilicata
15,Eboli Campania Italy,6 September 1860,Final stage before Naples
16,Naples Italy,7 September 1860,Triumphal entry of Garibaldi
