main_term,related_term,relation_type,clean_term,assigned_category,similarity_score,term,gender_side,pair_male,pair_female
male monarch,adult male,hypernym,adult male,gender_marked,0.7665693163871765,male monarch,male,male monarch,female monarch
male monarch,crowned head,hypernym,crowned head,authority_power,0.6559136509895325,male monarch,male,male monarch,female monarch
male monarch,man,hypernym,man,gender_marked,0.8482155799865723,male monarch,male,male monarch,female monarch
male monarch,monarch,hypernym,monarch,authority_power,0.7462693452835083,male monarch,male,male monarch,female monarch
male monarch,sovereign,hypernym,sovereign,authority_power,0.5756523609161377,male monarch,male,male monarch,female monarch
male monarch,King of England,hyponym,king of england,authority_power,0.7905874848365784,male monarch,male,male monarch,female monarch
male monarch,King of France,hyponym,king of france,authority_power,0.7935228943824768,male monarch,male,male monarch,female monarch
male monarch,King of Great Britain,hyponym,king of great britain,authority_power,0.8164671659469604,male monarch,male,male monarch,female monarch
male monarch,King of the Germans,hyponym,king of the germans,authority_power,0.7588725090026855,male monarch,male,male monarch,female monarch
female monarch,female aristocrat,hypernym,female aristocrat,gender_marked,0.8051194548606873,female monarch,female,male monarch,female monarch
female monarch,Queen of England,hyponym,queen of england,authority_power,0.7437515258789062,female monarch,female,male monarch,female monarch
prince,adult male,hypernym,adult male,gender_marked,0.7665693163871765,prince,male,prince,princess
prince,aristocrat,hypernym,aristocrat,social_status,0.48774006962776184,prince,male,prince,princess
prince,blue blood,hypernym,blue blood,social_status,0.5651249885559082,prince,male,prince,princess
prince,man,hypernym,man,gender_marked,0.8482155799865723,prince,male,prince,princess
prince,patrician,hypernym,patrician,social_status,0.5536790490150452,prince,male,prince,princess
prince,archduke,hyponym,archduke,authority_power,0.2780178487300873,prince,male,prince,princess
prince,crown prince,hyponym,crown prince,authority_power,0.7415153384208679,prince,male,prince,princess
prince,dauphin,hyponym,dauphin,authority_power,0.19870689511299133,prince,male,prince,princess
prince,elector,hyponym,elector,authority_power,0.30902764201164246,prince,male,prince,princess
prince,grand duke,hyponym,grand duke,authority_power,0.5996939539909363,prince,male,prince,princess
prince,maharaja,hyponym,maharaja,authority_power,0.33173927664756775,prince,male,prince,princess
prince,maharajah,hyponym,maharajah,authority_power,0.21964994072914124,prince,male,prince,princess
prince,prince consort,hyponym,prince consort,social_status,0.6321068406105042,prince,male,prince,princess
prince,Prince of Wales,hyponym,prince of wales,authority_power,0.7458741664886475,prince,male,prince,princess
prince,princeling,hyponym,princeling,social_status,0.033004678785800934,prince,male,prince,princess
princess,adult female,hypernym,adult female,gender_marked,0.7868453860282898,princess,female,prince,princess
princess,aristocrat,hypernym,aristocrat,social_status,0.48774006962776184,princess,female,prince,princess
princess,blue blood,hypernym,blue blood,social_status,0.5651249885559082,princess,female,prince,princess
